tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,fBodyGyro-min()-X,fBodyGyro-min()-Y,fBodyGyro-min()-Z,fBodyGyro-meanFreq()-X,fBodyGyro-meanFreq()-Y,fBodyGyro-meanFreq()-Z,"angle(X,gravityMean)","angle(Y,gravityMean)","angle(Z,gravityMean)",Activity
0.27688027,-0.012721805,-0.10343832,-0.99783721,-0.98971631,-0.98620544,-0.27981371,-0.051035768,0.0988292,-0.85156175,0.18760932,-0.034681168,5
0.27622817,-0.021441302,-0.10820234,-0.99400214,-0.99967255,-0.99714963,0.076938014,-0.10682122,0.26552128,-0.8527234,0.18605036,-0.035852089,5
0.278457,-0.020414761,-0.11273172,-0.99774111,-0.99850193,-0.99832334,0.024244269,-0.10457271,0.066322633,-0.85065446,0.18761054,-0.035997955,5
0.27717497,-0.014712802,-0.10675647,-0.99895652,-0.99658007,-0.99909269,0.26934763,0.15387378,0.15501092,-0.84977267,0.1888122,-0.035063399,5
0.29794572,0.027093908,-0.061668123,-0.99351292,-0.95350437,-0.86794139,-0.019135493,-0.18081037,0.032643334,-0.73093729,0.28315855,0.036443909,5
0.27920345,-0.023020143,-0.12208028,-0.99754283,-0.97272815,-0.94645167,-0.29813287,-0.30192144,-0.20795948,-0.76110079,0.26311858,0.02417211,5
0.27903836,-0.014800378,-0.11684896,-0.99361256,-0.98755003,-0.98895833,-0.1417567,-0.21375383,0.078100498,-0.75917219,0.26432447,0.027014344,5
0.2801349,-0.013916951,-0.10637048,-0.99408138,-0.99185969,-0.99151522,0.01317909,-0.27067927,-0.12286176,-0.75936327,0.26403279,0.029664019,5
0.27773106,-0.018210718,-0.10918803,-0.99758133,-0.99810279,-0.99978694,-0.032881452,-0.032916715,0.071666087,-0.76105187,0.26288599,0.029345734,5
0.27556818,-0.016979698,-0.11142918,-0.99794426,-0.99883646,-0.99858059,0.047905446,-0.19412723,0.073319687,-0.76062023,0.26316935,0.029573033,5
0.27756171,-0.014318487,-0.10787724,-0.99691176,-0.99959574,-0.99723899,0.24488852,0.040963158,0.53805287,-0.76052773,0.26318349,0.030288454,5
0.27715238,-0.017983328,-0.10660117,-0.99880035,-0.99924806,-0.99628925,0.1732064,0.17626505,0.51947182,-0.7620229,0.26217028,0.029986987,5
0.2756763,-0.021264234,-0.11080122,-0.99968243,-0.99852898,-0.9949492,0.15286778,0.12748859,0.15789138,-0.76150888,0.26255006,0.02963917,5
0.2792002,-0.017714427,-0.10916135,-0.99937702,-0.99910672,-0.99390959,0.20210878,0.14995588,0.46774838,-0.75896013,0.26425623,0.030456029,5
0.28171549,-0.011910678,-0.10287513,-0.99822494,-0.99931767,-0.99919833,-0.013018887,0.043613052,0.2594532,-0.75897692,0.26422361,0.030743151,5
0.27899267,-0.014531029,-0.10659617,-0.99772958,-0.99848973,-0.9916076,-0.16758088,0.13231293,0.40559982,-0.76219671,0.26209013,0.029403668,5
0.27573444,-0.01801884,-0.10677578,-0.99748622,-0.99946549,-0.99953168,0.039766646,0.24039051,0.3996916,-0.76370208,0.26110336,0.028562963,5
0.14450396,0.18926326,0.062769317,-0.99706082,-0.94533236,-0.86040184,-0.065895342,0.17024687,0.13254114,-0.66708465,0.054216165,-0.21887457,4
0.28725164,-0.037455064,-0.14597431,-0.99650135,-0.97152349,-0.99657412,0.10066045,-0.14922323,-0.30398028,-0.56480737,-0.027044798,-0.26605456,4
0.2799976,-0.019484036,-0.10572355,-0.99889037,-0.96810804,-0.95263019,0.004411003,-0.1816702,0.032572191,-0.57936742,-0.021566893,-0.2575301,4
0.22184689,0.034107675,-0.12361242,-0.90676825,-0.94904269,-0.86053161,-0.38264807,-0.94397478,-0.57021937,-0.58280626,-0.020755925,-0.25526977,4
-0.041701306,0.17510248,0.025551778,-0.99317894,-0.95488689,-0.96120858,-0.74889709,-0.92929818,-0.78856591,-0.5529392,-0.053538987,-0.26042439,4
0.013903671,0.15329608,0.016242945,-0.86178746,-0.94757713,-0.80462504,0.36521133,-0.27548492,-0.3631185,-0.41836808,-0.14254902,-0.30588383,4
0.30368927,-0.004242805,-0.15085028,-0.99875654,-0.96269336,-0.99470816,0.40785068,0.39012234,-0.1996484,-0.30588411,-0.21333904,-0.33700092,4
0.29075969,-0.02403476,-0.11673889,-0.99836819,-0.99135501,-0.98051312,0.17608884,0.011722064,-0.011644735,-0.30919487,-0.22111662,-0.32645795,4
0.27090823,-0.014412968,-0.10652245,-0.99740719,-0.98904748,-0.99278357,0.021293298,0.38783759,0.078644167,-0.3167322,-0.21772934,-0.32332877,4
0.2795534,-0.017001147,-0.11051668,-0.99749619,-0.99351677,-0.99635624,0.50889684,0.078256408,0.1891825,-0.31457502,-0.2189352,-0.32398842,4
0.27635864,-0.016138088,-0.10803259,-0.99768319,-0.99577978,-0.9990072,0.2267544,0.1179848,0.41430166,-0.31488562,-0.21916689,-0.32348431,4
0.23715407,0.007825122,-0.12283791,-0.98327867,-0.98795098,-0.74796254,-0.26690398,-0.034240203,0.020744702,-0.65435613,0.006141106,-0.21275283,4
0.2731084,0.006518112,-0.10947182,-0.92741875,-0.98457654,-0.71928227,-0.006195489,0.10573534,0.028201727,-0.65078203,-0.003048538,-0.21119617,4
0.28150539,-0.018434859,-0.11139287,-0.94950968,-0.99605488,-0.85638053,-0.055776458,-0.34182688,-0.029434105,-0.64514606,-0.013061244,-0.21042962,4
0.27843225,-0.019654302,-0.10797029,-0.98811985,-0.99694283,-0.97070793,-0.053054666,0.054628796,-0.097023482,-0.64657849,-0.012405519,-0.20965049,4
0.2733796,-0.009940106,-0.10839283,-0.9995808,-0.99712859,-0.99452955,-0.025235088,0.11509315,-0.19059519,-0.64706219,-0.011866506,-0.20955912,4
0.27905615,-0.01626097,-0.11281565,-0.99927875,-0.99756437,-0.99531466,0.15230399,0.2976174,-0.14618914,-0.64510509,-0.014516278,-0.20966409,4
0.2785991,-0.019910142,-0.1111806,-0.99877286,-0.99890602,-0.98326821,0.085242794,0.041432036,0.030780583,-0.64633366,-0.014783523,-0.20853819,4
0.27328142,-0.011127209,-0.10634926,-0.99964655,-0.98928955,-0.99753966,0.50671831,0.07556007,-0.10698564,-0.64799745,-0.014168187,-0.20755542,4
0.27853812,-0.016173432,-0.10970656,-0.99813247,-0.99541994,-0.9967536,0.51570841,0.012158485,0.02136734,-0.64625395,-0.016451134,-0.20766551,4
0.27746121,-0.017491016,-0.10635945,-0.9985684,-0.99917091,-0.99302366,0.40457829,-0.029123489,0.10032239,-0.64604389,-0.016965715,-0.20754128,4
0.27394057,-0.013147584,-0.10543517,-0.99757862,-0.99351754,-0.99648456,0.42379961,0.15068032,0.24497138,-0.6448514,-0.017046458,-0.20844898,4
0.27930326,-0.020521383,-0.11323643,-0.99810483,-0.99893208,-0.99656145,0.28958685,0.24036801,-0.08103282,-0.64322033,-0.018360329,-0.20900476,4
0.2790872,-0.019083242,-0.10588882,-0.99507188,-0.98894183,-0.99838465,0.54781344,0.19800319,-0.20525852,-0.64545984,-0.017047243,-0.20796204,4
0.40347433,-0.015074404,-0.11816739,-0.99051661,-0.98576005,-0.7594027,-0.12946319,-0.30965551,-0.067389048,0.43247853,-0.55335148,-0.43287564,6
0.27837321,-0.020560964,-0.096824565,-0.99166979,-0.99481644,-0.82607092,-0.1772947,-0.088881882,-0.001677066,0.39985328,-0.55036444,-0.42759273,6
0.27655526,-0.01786855,-0.10762126,-0.99027825,-0.99631568,-0.92837268,0.039468108,0.12661959,0.065183838,0.39906577,-0.54672465,-0.43124421,6
0.27957476,-0.017275722,-0.10948053,-0.9973636,-0.99987377,-0.99878492,0.088837787,-0.22976395,0.065986097,0.39955483,-0.54647681,-0.43164599,6
0.27652699,-0.0168191,-0.10798311,-0.99845128,-0.998491,-0.99134423,0.42505194,-0.2305108,0.41615403,0.3988886,-0.54671226,-0.43120727,6
0.27812334,-0.017146303,-0.10801374,-0.99870578,-0.99793103,-0.98996352,0.35721184,-0.18285949,0.4572391,0.39889738,-0.54685884,-0.43105379,6
0.27800654,-0.01780317,-0.10896485,-0.9994579,-0.99793578,-0.99404833,0.32764399,-0.065534723,-0.15828311,0.39888109,-0.54671715,-0.43119994,6
0.2802064,-0.01839626,-0.10748863,-0.99970297,-0.99574381,-0.99215684,0.274076,-0.18585085,0.34427643,0.39877771,-0.54624972,-0.43166802,6
0.28182774,-0.018626474,-0.10527824,-0.99906479,-0.99914262,-0.99701773,0.2403441,-0.24458824,0.25162277,0.39801973,-0.54555047,-0.43219711,6
0.27672941,-0.017209548,-0.10563797,-0.99901678,-0.99956968,-0.99026479,0.36170784,-0.063420823,0.33465106,0.39713425,-0.54467991,-0.43287147,6
0.27588359,-0.016150309,-0.10882921,-0.99954979,-0.99774999,-0.99776703,0.4345329,-0.21729452,0.11520351,0.3973035,-0.54419774,-0.43343266,6
0.27783021,-0.017684054,-0.1057035,-0.99950126,-0.99509661,-0.99338157,0.33218508,-0.12400623,0.21656869,0.39775801,-0.54444236,-0.43330166,6
0.27937115,-0.017644953,-0.10818111,-0.99911638,-0.99807129,-0.99699097,0.2612734,-0.21471274,0.13887445,0.39779057,-0.54399111,-0.43379089,6
0.019016151,-0.007037357,-0.028333356,-0.97679232,-0.9624919,-0.98525857,-0.40627381,-0.008389396,-0.36391281,0.20575936,-0.53610387,-0.36073577,6
0.3402085,-0.036452984,-0.10625819,-0.96292194,-0.9875992,-0.85020113,-0.28489973,-0.1899565,-0.097143842,0.27854399,-0.54409199,-0.38929322,6
-0.16642569,-0.11935251,0.13303497,-0.96349828,-0.92466824,-0.98813351,-0.63525595,-0.46446244,-0.6427061,0.27208294,-0.53412217,-0.39742768,6
-0.23910256,-0.096904391,0.14803461,-0.97374117,-0.94877502,-0.99783537,-0.68458634,-0.54345589,-0.61413546,0.37879154,-0.48844315,-0.48705651,6
0.34696848,0.069408647,-0.20082552,-0.917541,-0.97163393,-0.84792095,-0.19115136,-0.14278765,0.43721729,0.50238617,-0.43127083,-0.57287374,6
0.30383319,0.1036482,-0.24533103,0.31428418,-0.86710802,-0.85048544,0.64780288,-0.1516836,-0.16621416,0.49453529,-0.46594003,-0.53580206,6
-0.36120533,-0.26812111,0.17689637,-0.85578125,-0.86618865,-0.95081732,-0.53933004,-0.051106787,-0.35401397,0.50873322,-0.49613177,-0.50619728,6
-0.27706634,-0.68409659,0.34665772,-0.55126485,-0.89231312,-0.95508213,0.036605456,0.010096269,0.26133704,0.66828427,-0.3366412,-0.67268482,6
0.2574765,-0.41386534,0.017374188,-0.59812243,-0.93056818,-0.99572648,0.008769715,-0.28328349,-0.55624352,0.79297021,-0.034019619,-0.92814826,6
0.27683965,-0.02714766,-0.1231748,-0.99690011,-0.99289029,-0.99184173,-0.36665944,0.27514854,-0.26542678,0.79692828,0.12501854,-0.97719373,6
0.26865095,0.016430154,-0.10372571,-0.96765985,-0.98916127,-0.99342138,-0.015075881,0.31906184,-0.14429261,0.79739372,0.13180225,-0.97526294,6
0.28526329,-0.008888811,-0.10374518,-0.97031792,-0.99433182,-0.99596596,-0.009131195,0.031022827,-0.10442523,0.79917435,0.11596031,-0.97723061,6
0.28347732,-0.007524458,-0.10928717,-0.98997951,-0.99678274,-0.98695358,-0.10142721,0.1601512,0.12136102,0.79725696,0.11174753,-0.97914858,6
0.27302712,-0.010196757,-0.11115339,-0.99781463,-0.99835386,-0.99321923,-0.13618871,0.44459077,0.10243786,0.79641242,0.1079178,-0.98014271,6
0.28202157,-0.037696218,-0.1348973,-0.9475466,-0.80230702,-0.98467687,-0.33099711,-0.23315776,0.085932199,-0.77370661,0.25243212,0.044098743,1
0.25584075,-0.064550029,-0.095186339,-0.53178024,-0.86119043,-0.96782452,0.10793445,-0.30652056,0.087772901,-0.76716315,0.25691881,0.044637597,1
0.25486723,0.003814723,-0.12365809,-0.99798644,-0.98115674,-0.43648143,-0.17980673,-0.24182798,0.24344224,-0.75741393,0.2644517,0.039416823,1
0.34337048,-0.014446221,-0.16737697,-0.93101504,-0.4374485,-0.66515563,-0.17515958,0.063447474,0.22913488,-0.76253431,0.26085042,0.03973498,1
0.27623973,-0.029638413,-0.14261631,-0.97688321,-0.75014446,-0.62660311,-0.17637171,-0.1440376,0.059106372,-0.76396808,0.25962894,0.041412489,1
0.25546822,0.021219063,-0.048949431,-0.69784882,-0.18150121,-0.73068074,0.1925116,0.012079807,0.00194188,-0.76618572,0.25825832,0.040128173,1
0.32113983,0.001581795,-0.043553705,-0.8770048,-0.74010537,-0.97653802,0.053237664,-0.10810804,-0.10842339,-0.77667683,0.2512184,0.038105042,1
0.2346659,-0.049547719,-0.11175723,-0.89561167,-0.62785349,-0.85156973,0.096134195,-0.067297563,-0.016259307,-0.78422533,0.24608543,0.037162294,1
0.31263404,-0.026367749,-0.13095121,-0.93344367,-0.45929153,-0.44084397,-0.070288769,-0.11308313,-0.020525379,-0.7601763,0.26295137,0.035725938,1
0.2769154,-0.03548621,-0.080569176,-0.80324405,-0.54457819,-0.85453409,0.215049,-0.069224902,-0.022534522,-0.76411341,0.25875981,0.046412684,1
0.20530739,-0.008508278,-0.11964696,-0.95761788,-0.13849006,-0.95942861,0.015490945,-0.031424588,0.13120889,-0.76548846,0.25819326,0.043972437,1
0.30699599,-0.01378698,-0.18016197,-0.98898262,-0.67662689,-0.60697064,-0.093225047,0.12476665,0.12613602,-0.76460055,0.25932627,0.040396555,1
0.28151325,-0.040800898,-0.13467496,-0.95318522,-0.88010662,-0.93466735,-0.09944051,-0.2232473,-0.056947522,-0.76024173,0.2615288,0.04604602,1
0.30388542,0.002768038,-0.038613087,-0.96388664,-0.51424655,-0.56230646,-0.094465238,-0.057402259,0.30389196,-0.75288184,0.26672866,0.045691901,1
0.3541929,-0.012560935,-0.058680943,-0.98737668,-0.49580091,-0.99705914,-0.093528107,-0.062564688,0.056758584,-0.75597648,0.2649955,0.042851381,1
0.22229785,-0.018659683,-0.11718642,-0.99026871,-0.63221744,-0.77404678,-0.16046817,-0.16113559,0.059063705,-0.76399734,0.25941575,0.042765051,1
0.21448125,0.009938745,-0.123073,-0.86400514,-0.94199887,-0.76844294,-0.093259832,-0.17219332,0.064732887,-0.76801471,0.25690064,0.040754297,1
0.32731657,-0.022255821,-0.1491439,-0.84809306,-0.90287388,-0.59391007,0.00718137,0.15709547,0.33590277,-0.76947723,0.25616716,0.038575391,1
0.3490591,-0.022003784,-0.15005217,-0.84814523,-0.79228739,-0.6140508,0.079862733,0.11494002,-0.026331045,-0.77673604,0.25140647,0.036180384,1
0.26468173,-0.008591927,-0.10297373,-0.85112341,-0.85849613,-0.61832265,0.15777563,-0.060304675,0.17788928,-0.78696273,0.24447112,0.034676619,1
0.28431748,-0.027205815,-0.21230304,-0.7750271,-0.68183843,-0.90371209,0.035581175,-0.11275979,0.031980681,-0.76418507,0.26056458,0.031442044,1
0.22172674,-0.02437697,-0.075076407,-0.97923907,-0.69445522,-0.69783096,-0.21137777,-0.17937565,0.14571691,-0.75699771,0.26332065,0.048844258,1
0.29097148,-0.027810418,-0.042982545,-0.92339708,-0.42610919,-0.74096183,0.086360665,0.008461133,0.16993202,-0.75073949,0.26801857,0.046982881,1
0.26108077,-0.015635621,-0.10258842,-0.75179529,-0.36530895,-0.72895118,0.17160767,0.13052361,0.14268856,-0.74996259,0.26915125,0.04310044,1
0.25242505,0.006277346,-0.12518006,-0.4761027,-0.66018287,-0.9106158,0.41776433,0.022161469,0.089850824,-0.75120873,0.26841942,0.042116144,1
0.35878664,-0.016954505,-0.15477656,-0.71282681,-0.7058593,-0.88663339,0.16646708,-0.049550401,-0.16705897,-0.75218118,0.26797457,0.040347067,1
0.256935,-0.010577401,-0.10544192,-0.69524278,-0.63105641,-0.73949263,0.30066383,0.023011309,-0.005762288,-0.7619169,0.26152893,0.037684434,1
0.29855414,0.000794456,-0.040695674,-0.88025584,-0.83339596,-0.89563979,0.14180656,-0.13946541,-0.044702788,-0.77319853,0.25403912,0.034528797,1
0.30804575,-0.023300458,-0.07970154,-0.79981538,-0.42148652,-0.90387479,0.03136134,-0.059003099,0.098759545,-0.77733154,0.25108876,0.035313655,1
0.20356167,-0.03050523,-0.13709513,-0.97414396,-0.89329763,-0.86538233,-0.059055883,-0.15379761,0.10003813,-0.77943645,0.24935545,0.037651666,1
0.28056095,-0.011424653,-0.15619795,-0.73438628,-0.82946602,-0.71942998,0.34799589,-0.2056272,0.14036518,-0.77000474,0.25555509,0.040457219,1
0.33216933,-0.034585828,-0.15926922,-0.9575636,-0.79418411,-0.79173949,0.015475838,-0.053423728,0.03496819,-0.7560886,0.26439169,0.046294293,1
0.28703017,-0.02723993,-0.11750002,-0.70100475,-0.44924841,-0.73592454,0.16428933,-0.009551474,-0.02530214,-0.75778247,0.26295042,0.047822052,1
0.30159413,-0.044653002,-0.081513949,-0.79576415,-0.8027411,-0.76171549,0.093320478,-0.058011686,0.084639142,-0.75507581,0.26481403,0.048003415,1
0.24608919,-0.016175423,-0.11188336,-0.93677804,-0.96168832,-0.62478357,-0.12643472,-0.19206312,-0.036058172,-0.74751728,0.26945243,0.051664332,1
0.29272439,-0.002139839,-0.14034852,-0.95338517,-0.49010622,-0.77083842,-0.16497586,0.18630293,-0.080894909,-0.75069611,0.26826977,0.045597275,1
0.33156003,-0.007495015,-0.13173868,-0.8085172,-0.71180103,-0.95023818,0.08588202,-0.076718325,-0.23488904,-0.75566247,0.2654056,0.041470049,1
0.20201055,-0.009037945,-0.079095855,-0.83289765,-0.43331845,-0.72480741,-0.097264816,0.14469456,0.013290581,-0.76618025,0.25860267,0.037375875,1
0.30363491,-0.014656769,-0.042613832,-0.88626977,-0.58132223,-0.88920482,0.30156799,-0.06001038,0.011039751,-0.76954206,0.25658101,0.03447432,1
0.35919361,-0.018079718,-0.07234686,-0.91195624,-0.43114233,-0.99476814,0.004451371,-0.10353127,-0.099350904,-0.7719047,0.25505965,0.033260354,1
0.22442754,-0.031464353,-0.12726298,-0.88526904,-0.48748827,-0.56057872,0.079667705,-0.034231901,-0.010705905,-0.77791642,0.25093636,0.032785826,1
0.23995826,-0.00971072,-0.12197022,-0.99283361,-0.83951317,-0.93648129,-0.11162483,-0.10702125,-0.090697355,-0.77476745,0.25301468,0.033888562,1
0.28972747,0.01534272,-0.11667518,-0.9540613,-0.99335714,-0.59971432,0.009590735,-0.28744342,0.12504048,-0.77410047,0.25368941,0.031546631,1
0.30830537,-0.019882845,-0.16044667,-0.90774999,-0.75965617,-0.67632445,-0.022771345,-0.12469138,0.095250191,-0.78088346,0.24898628,0.031598306,1
0.32746543,-0.03566696,-0.18182373,-0.90076366,-0.53643293,-0.469985,-0.19139274,-0.076126971,0.059448969,-0.78315381,0.2467452,0.037846728,1
0.23841102,-0.023196389,-0.11255181,-0.79813029,-0.61977747,-0.44054568,-0.042109493,-0.055083698,0.015352197,-0.77995361,0.24786871,0.045255654,1
0.1801943,-0.017796846,-0.039347036,-0.78059809,-0.52792085,-0.85172002,0.079880519,-0.011948492,-0.089887344,-0.77136308,0.25333715,0.048346543,1
0.35845532,0.017975385,-0.084159118,-0.93222369,-0.99447845,-0.71714908,0.033780191,-0.03499047,0.25084613,-0.76834002,0.25671218,0.04047408,3
0.30171512,-0.007049391,-0.093681451,-0.98701524,-0.99157115,-0.66658068,0.13018478,0.15859471,-0.053909993,-0.79076448,0.24204769,0.032582417,3
0.28155172,-0.016110289,-0.14009252,-0.68301139,-0.90894958,-0.88910152,-0.091790647,0.21997214,-0.081350896,-0.80223567,0.23416634,0.03181717,3
0.27395574,-0.022899292,-0.12725614,-0.845793,-0.40003004,-0.87423933,-0.27676387,0.053146257,-0.065220965,-0.80361895,0.23163941,0.0432366,3
0.29995717,0.014082123,-0.082310404,-0.97918199,-0.85465277,-0.99435387,-0.23016847,-0.11102737,-0.16733461,-0.80066823,0.2330244,0.046864574,3
0.26537379,-0.017156211,-0.13877347,-0.90074108,-0.81345803,-0.88438604,-0.33172472,-0.056439261,-0.10969718,-0.81288865,0.22555373,0.040876867,3
0.27763311,-0.03726758,-0.10002093,-0.90272382,-0.18345553,-0.83051135,-0.23938613,0.14740566,-0.042918991,-0.81139678,0.2254286,0.047016364,3
0.26688016,-0.002307302,-0.063727153,-0.96608281,-0.6723848,-0.88428306,-0.052042087,0.063600481,-0.019507893,-0.80292139,0.23205458,0.04364982,3
0.21070047,-0.005968762,-0.1095915,-0.96565018,-0.54702836,-0.9072602,0.17463037,0.20686069,-0.12817401,-0.81063529,0.22840498,0.031154035,3
0.28521305,-0.020202459,-0.011024206,-0.85915689,0.021640842,-0.95912673,0.23965219,0.29364291,-0.13139381,-0.74616191,0.26903773,0.058288331,3
0.4699458,-0.033624109,-0.1412542,-0.99290118,-0.85215234,-0.76919972,-0.037451841,0.044612356,-0.080760434,-0.76198546,0.26221497,0.029717335,3
0.23528441,-0.014570467,-0.20841776,-0.89529918,-0.16336213,-0.91216726,-0.41182964,0.22780693,-0.099426281,-0.75577641,0.26627029,0.032871071,3
0.1669136,-0.03373288,-0.13334869,-0.7418387,-0.65421192,-0.58298627,-0.23564275,-0.034835653,-0.072141714,-0.74364203,0.27312025,0.04607592,3
0.44562097,-0.011902709,-0.15116909,-0.41715795,-0.69753065,-0.53961011,0.28261349,0.22021654,-0.011078582,-0.74323259,0.27399058,0.041975445,3
0.23179921,-0.007522025,-0.055801013,-0.94514494,-0.98574501,-0.84551134,-0.27345166,0.013371946,-0.21091334,-0.75071346,0.26723556,0.051523193,3
0.28134949,-0.000709831,-0.008699901,0.21088345,-0.13434337,-0.7663177,0.26121446,0.23849703,-0.1351311,-0.75537696,0.26391824,0.051741178,3
0.36248249,-0.003552694,-0.18104462,-0.96952869,-0.21250008,-0.82961312,0.12112607,-0.001378491,-0.08355044,-0.77116188,0.25543401,0.0347066,3
0.43503687,-0.00659175,-0.082909932,-0.93789804,-0.84417818,-0.89069961,0.066273333,-0.19948928,0.005675634,-0.73992624,0.2749719,0.050583388,3
0.35119884,0.021866728,-0.1494262,-0.77280586,-0.61487867,-0.73965971,0.19921106,-0.004748372,-0.030940873,-0.75769767,0.26469515,0.035488357,3
0.13046118,-0.05499692,-0.13178649,-0.88646133,-0.671382,0.27385833,-0.18379069,0.006072845,0.30517853,-0.76622434,0.25845668,0.038349993,3
0.31277629,-0.050409373,-0.043028643,-0.6287657,-0.56374338,-0.89402364,-0.27162569,0.13910599,-0.10162315,-0.75066909,0.26901477,0.0404382,3
0.42595606,0.02456,-0.15095947,-0.81290848,-0.53211991,-0.36572644,-0.28377978,0.12709321,-0.055674832,-0.75120111,0.26985222,0.02665056,3
0.26749864,-0.018319479,-0.16901282,-0.8011944,-0.86021352,-0.79027665,-0.37629236,-0.21027295,-0.16509744,-0.768861,0.25640384,0.040068354,3
0.15439416,0.001604517,-0.010548619,-0.69968411,-0.6307077,-0.88522182,0.10348061,-0.050917516,-0.10825211,-0.7628088,0.25777357,0.056051285,3
0.20535149,-0.003807358,-0.032628831,-0.98815914,-0.72717245,-0.98167114,-0.20761029,-0.19652118,-0.1054104,-0.77094316,0.25499331,0.039774255,3
0.18360372,-0.076558729,-0.0469561,-0.98153176,-0.93785482,-0.95987825,-0.081708175,-0.44903779,-0.26539438,-0.73017965,0.2757426,0.07579027,2
0.27918273,-0.036965677,-0.13360426,-0.89526155,-0.8930358,-0.61705033,-0.16072204,-0.3987935,0.22883199,-0.69548078,0.30321441,0.06548249,2
0.30116241,-0.001759297,-0.10683037,-0.7111249,-0.81464816,-0.93206705,-0.36199493,-0.55726607,-0.3896477,-0.68162013,0.31183747,0.070519284,2
0.29341097,-0.018714518,-0.066159078,-0.93309512,-0.63911403,-0.7020478,-0.44564073,-0.40131843,-0.090917826,-0.68671499,0.30824283,0.07046834,2
0.2303099,0.002173712,-0.043103131,-0.9014112,-0.59621374,-0.79062463,-0.35968117,-0.14638022,-0.18541481,-0.69326684,0.30613251,0.058967406,2
0.15851651,0.004256145,-0.018779209,-0.96760771,-0.092572573,-0.93987975,-0.25725111,0.12988667,-0.22475245,-0.69838906,0.30487801,0.04432452,2
0.21524532,-0.032628002,-0.11896558,-0.87390176,-0.76887463,-0.96028919,-0.18298481,-0.42640213,-0.26510903,-0.70225292,0.3030356,0.036457046,2
0.27147742,-0.030746091,-0.15623238,-0.9217778,-0.87717879,-0.94620199,-0.06876874,-0.4124604,-0.076123229,-0.69189005,0.30912876,0.046414441,2
0.14085877,-0.068261729,-0.072115723,-0.83233902,-0.99321006,-0.98480538,-0.078118895,-0.47924203,-0.18506684,-0.69766239,0.30165425,0.065570448,2
0.23145946,-0.013340312,-0.092367982,-0.90982874,-0.80458865,-0.9219177,-0.045241325,-0.45811964,-0.077196701,-0.6624351,0.32717524,0.061988673,2
0.29569289,-0.017291,-0.099927816,-0.83842808,-0.97610761,-0.92015881,-0.3678348,-0.61622077,-0.34701931,-0.65764544,0.33047549,0.062285324,2
0.34408292,-0.019665159,-0.14195199,-0.70847581,-0.58596085,-0.75096582,-0.28898921,-0.41300881,-0.29101589,-0.65803196,0.33079212,0.059060388,2
0.33299252,-0.030312276,-0.11360054,-0.92080899,-0.85909723,-0.86551577,0.02990573,-0.60460701,-0.23643483,-0.6622363,0.32785803,0.05902543,2
0.31672153,-0.023908255,-0.1107584,-0.95914564,-0.76211739,-0.82148591,-0.48122346,-0.35787964,-0.2277768,-0.66711711,0.32503511,0.055574652,2
0.27425493,-0.028953751,-0.15558324,-0.87643931,-0.86688988,-0.97223077,0.073155079,-0.40123755,0.004669988,-0.66740046,0.32488244,0.055298125,2
0.26034404,-0.03367069,-0.12730182,-0.95721273,-0.62261964,-0.84268995,-0.17527665,-0.32370973,-0.096896885,-0.65349636,0.33266801,0.065948064,2
